Table vi_04_q: Entry clearance visas granted by category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/statistics/immigration-statistics-year-ending-march-2018-data-tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Broad category,Applicant type,Category,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1
Work,Tier 2 & pre-PBS equivalent,Dependant,*Total,"10,920","12,555","12,377","9,823","12,058","12,537","13,809","11,115","10,759","7,194","7,137","5,005","5,173","4,988","5,845","6,048","6,482","6,977","7,243","6,280","6,796","7,038","8,010","6,424","6,671","7,549","7,954","6,170","6,926","7,636","7,996","6,375","7,860","8,999","9,749","7,738","8,596","10,077","10,291","9,270","9,778","9,580","10,010","8,293","8,987","11,089","10,144","8,181","9,366","10,956","11,588","8,931","9,345"
Work,Tier 5 & pre-PBS equivalent,Main applicant,*Total,"20,948","18,362","13,129","12,212","15,373","15,836","11,206","10,845","15,173","12,296","9,154","8,498","10,915","11,222","10,447","8,414","9,421","10,447","9,336","7,114","10,679","10,347","9,083","6,430","11,327","10,264","8,540","6,496","11,159","10,651","8,234","6,867","9,739","12,055","10,396","7,157","9,044","13,970","10,764","8,399","11,307","12,236","11,445","7,862","9,865","12,001","10,047","7,806","9,646","11,948","9,922","7,065","9,248"
Work,Tier 5 & pre-PBS equivalent,Dependant,*Total,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,59,140,298,258,279,313,369,317,286,346,385,299,288,319,480,283,351,388,606,353,422,430,558,416,492,457,661,468,577,463,715,525,564,480,761,478,570
Work,Non-PBS,Main applicant,*Total,"5,169","11,287","6,082","4,836","5,441","10,990","7,010","4,569","5,471","10,067","5,905","3,901","4,597","10,087","5,917","3,852","3,976","8,806","3,968","3,545","3,904","8,866","4,257","3,584","4,101","9,486","3,821","3,796","4,302","7,408","4,266","4,091","4,008","7,749","5,605","4,044","4,441","7,144","6,153","4,153","4,454","7,904","6,033","4,440","4,586","8,927","5,445","4,336","4,661","9,215","5,362","5,060","3,839"
Work,Non-PBS,Dependant,*Total,22,61,42,54,64,89,74,40,65,44,21,22,9,33,14,19,46,61,78,61,45,118,96,77,76,69,57,45,55,60,56,23,34,47,35,23,20,12,27,13,9,2,1,2,4,7,9,3,2,3,1,3,8
Work,Other,Main applicant,*Total,"6,152","13,079","5,380","3,284","8,814","11,834","5,328","2,772","6,127","7,691","5,405","2,636","3,378","5,019","5,158","2,114",304,245,225,182,145,305,194,195,161,173,224,107,89,149,124,97,87,210,171,116,138,183,166,143,175,193,218,126,160,233,205,166,121,163,178,124,200
Study,Tier 4 & pre-PBS equivalent,Main applicant,*Total,"23,108","37,659","91,050","23,759","26,238","36,580","101,306","26,095","27,778","34,575","104,663","26,759","29,240","31,319","115,360","31,855","32,301","24,603","154,706","61,595","40,995","30,290","142,966","39,535","49,244","39,474","127,747","21,006","18,427","30,281","124,683","19,656","15,404","27,676","135,995","20,533","14,922","26,844","140,912","17,619","12,095","27,959","138,936","15,985","9,167","26,914","142,510","15,941","10,737","31,880","153,171","15,512","11,312"
Study,Tier 4 & pre-PBS equivalent,Dependant,*Total,"3,227","3,163","5,902","3,716","4,004","3,991","7,978","4,922","3,849","3,581","7,781","4,066","4,740","4,881","9,721","4,859","5,315","3,859","11,583","9,399","6,569","5,046","12,144","7,999","7,862","5,344","7,910","3,283","3,365","2,200","7,598","3,539","3,375","2,479","8,677","4,486","4,140","2,642","8,361","4,601","3,298","1,862","7,068","3,108","2,035","1,602","6,129","2,803","2,176","1,553","6,131","2,376","1,904"
Work,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - General,z,z,z,z,z,z,z,z,z,z,z,z,z,265,"2,363","5,146","6,676","3,723","1,787","1,744","1,844","2,841","3,498","1,944","1,829",42,17,6,11,9,1,4,2,3,z,z,1,3,2,1,z,z,1,z,1,z,z,1,z,1,z,z,z
Work,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Investors,z,z,z,z,z,z,z,z,z,z,z,z,z,z,19,24,31,32,53,37,49,41,60,61,44,70,126,91,100,102,147,121,105,156,176,128,213,251,237,471,57,43,46,46,43,40,73,61,75,85,114,81,96
Work,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Entrepreneurs,z,z,z,z,z,z,z,z,z,z,z,z,z,z,6,21,20,23,40,35,40,53,56,40,95,102,123,101,129,167,192,213,303,262,342,259,261,292,277,257,290,216,213,199,213,197,202,200,227,222,229,305,241
Work,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Graduate entrepreneurs,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0,2,11,46,72,18,39,44,27,33,25,55,38,44,32,64,53,58,50,105
Work,Tier 1 & pre-PBS equivalent,Main applicant,Tier 1 - Post Study,z,z,z,z,z,z,z,z,z,z,z,z,z,z,241,517,"1,066","1,014","1,049","1,115","1,296","1,216","1,385","1,463","2,260","1,171","1,172","1,323","3,291","1,609",31,z,3,1,1,1,1,z,z,z,z,z,z,z,z,1,z,z,z,z,z,z,z
