Quarter,Region,total_no_visit,total_work,total_study_no_short,study_short,family,total_dependent,total_other,
2017-Q2,Africa North,20681,3326,984,229,1222,432,28,17786
2017-Q2,Africa Sub-Saharan,70819,7512,2239,596,840,1487,392,65265
2017-Q2,America North,9642,8982,5733,1728,144,585,324,1128
2017-Q2,America Central and South,23212,3974,1052,322,1347,412,64,20015
2017-Q2,Asia Central,7023,2259,95,82,1742,155,37,4912
2017-Q2,Asia East,251546,45358,4424,25637,14009,211,244,207021
2017-Q2,Asia South,233529,26778,17968,899,2724,2323,248,209367
2017-Q2,Asia South East,70167,11164,6105,1641,2333,471,126,59491
2017-Q2,EU 14,4,4,0,2,1,0,0,1
2017-Q2,EU 2,5,0,0,0,0,0,0,5
2017-Q2,EU 8,2,2,1,1,0,0,0,0
2017-Q2,EU Other,5,5,1,0,0,0,0,4
2017-Q2,Europe Other,119317,26583,1529,476,22573,382,179,94178
2017-Q2,Middle East,71187,11489,778,1670,6184,734,48,61773
2017-Q2,Oceania,6818,6356,5659,148,46,168,127,670
2017-Q2,Other,1837,211,14,2,39,23,1,1758
2017-Q3,*Total,822658,252444,43885,159302,24404,10254,2803,582010
2017-Q3,Africa North,22037,5611,1014,2373,1201,529,47,16873
2017-Q3,Africa Sub-Saharan,80829,15144,2314,8017,919,1786,462,67331
2017-Q3,America North,23126,22622,6315,14170,423,887,331,1000
2017-Q3,America Central and South,21875,8685,1442,4869,954,501,78,14031
2017-Q3,Asia Central,6231,2246,102,1203,461,266,36,4163
2017-Q3,Asia East,247105,87730,4559,74641,6626,497,559,160223
2017-Q3,Asia South,180380,40974,16627,15715,1566,3180,398,142894
2017-Q3,Asia South East,69814,23496,4088,16954,1137,691,93,46851
2017-Q3,EU 14,2,2,0,1,0,1,0,0
2017-Q3,EU 2,7,0,0,0,0,0,0,7
2017-Q3,EU 8,2,1,0,0,0,1,0,1
2017-Q3,EU Other,10,9,0,2,0,0,0,8
2017-Q3,Europe Other,85616,17366,1974,6212,6926,615,515,69374
2017-Q3,Middle East,76840,21976,910,14046,4039,998,131,56716
2017-Q3,Oceania,6667,6299,4525,1063,131,248,151,549
2017-Q3,Other,2117,283,15,36,21,54,2,1989
2017-Q4,*Total,487940,95426,35277,17888,13571,12951,2258,405995
2017-Q4,Africa North,19577,3102,894,466,557,694,43,16923
2017-Q4,Africa Sub-Saharan,60199,8653,2009,1792,587,1956,419,53436
2017-Q4,America North,7307,7022,3853,1813,234,712,160,535
2017-Q4,America Central and South,12882,3951,850,537,1168,492,69,9766
2017-Q4,Asia Central,4872,1229,89,167,352,322,39,3903
2017-Q4,Asia East,89599,13221,3266,4918,3660,487,321,76947
2017-Q4,Asia South,111732,28911,14134,2500,1234,5318,512,88034
2017-Q4,Asia South East,47822,7679,3632,1720,659,966,157,40688
2017-Q4,EU 14,6,5,5,0,0,0,0,1
2017-Q4,EU 2,8,1,0,0,0,0,0,8
2017-Q4,EU 8,3,2,1,0,0,0,0,2
2017-Q4,EU Other,6,5,0,0,0,0,0,6
2017-Q4,Europe Other,83825,7947,1766,638,2968,719,358,77376
2017-Q4,Middle East,43124,8406,684,3027,2048,968,41,36356
2017-Q4,Oceania,5393,5041,4080,299,94,246,138,536
2017-Q4,Other,1585,251,14,11,10,71,1,1478
2018-Q1,*Total,513649,94181,37130,13216,17601,10023,1509,434170
2018-Q1,Africa North,18642,2887,722,377,594,647,31,16271
2018-Q1,Africa Sub-Saharan,50195,9862,2278,1715,752,2282,249,42919
2018-Q1,America North,5890,5490,3761,628,139,515,190,657
2018-Q1,America Central and South,13870,3676,1171,312,1089,378,56,10864
2018-Q1,Asia Central,4447,1096,88,100,361,205,19,3674
2018-Q1,Asia East,93164,11552,3467,3509,3081,325,260,82522
2018-Q1,Asia South,137977,27316,14893,2834,1358,3398,225,115269
2018-Q1,Asia South East,52062,7566,2978,856,2554,619,57,44998
2018-Q1,EU 14,3,2,1,0,0,0,0,2
2018-Q1,EU 2,1,0,0,0,0,0,0,1
2018-Q1,EU 8,1,1,1,0,0,0,0,0
2018-Q1,EU Other,3,2,1,0,0,0,0,2
2018-Q1,Europe Other,86205,9171,1452,399,4993,472,303,78586
2018-Q1,Middle East,43219,9154,702,2410,2636,910,14,36547
2018-Q1,Oceania,6466,6176,5605,71,32,188,105,465
2018-Q1,Other,1504,230,10,5,12,84,0,1393
